Approved symbol	Gene group name	Gene group ID	Ensembl ID(supplied by Ensembl)
HNMT	Seven-beta-strand methyltransferase motif containing	1400	ENSG00000150540
LYPD1	LY6/PLAUR domain containing	1226	ENSG00000150551
LYPD6B	LY6/PLAUR domain containing	1226	ENSG00000150556
PDCD4	MicroRNA protein coding host genes	1691	ENSG00000150593
ADRA2A	Adrenoceptors	169	ENSG00000150594
GPM6A			ENSG00000150625
WDR17	WD repeat domain containing	362	ENSG00000150627
SPATA4	Cilia and flagella associated	1491	ENSG00000150628
VEGFC	VEGF family	1267	ENSG00000150630
CCDC102B			ENSG00000150636
CD226	V-set domain containing|CD molecules	590|471	ENSG00000150637
CNDP1			ENSG00000150656
FSIP1			ENSG00000150667
DLG2	Membrane associated guanylate kinases|Protein phosphatase 1 regulatory subunits|PDZ domain containing	904|694|1220	ENSG00000150672
CCDC83			ENSG00000150676
RGS18	Regulators of G-protein signaling	720	ENSG00000150681
PRSS23	Serine proteases	738	ENSG00000150687
MTMR12	Myotubularins	903	ENSG00000150712
PPP1R1C	Protein phosphatase 1 regulatory subunits	694	ENSG00000150722
C11orf53			ENSG00000150750
CCT5	Chaperonins	587	ENSG00000150753
ATPSCKMT	Seven-beta-strand methyltransferase motif containing	1400	ENSG00000150756
DOCK1	DOCK family Rho GEFs|Armadillo like helical domain containing	1536|1492	ENSG00000150760
DIXDC1	Dishevelled segment polarity proteins	505	ENSG00000150764
DLAT	Pyruvate dehydrogenase complex	1547	ENSG00000150768
PIH1D2	R2SP complex	2007	ENSG00000150773
NKAPD1			ENSG00000150776
TIMM8B			ENSG00000150779
IL18	Interleukins	601	ENSG00000150782
TEX12			ENSG00000150783
PTS			ENSG00000150787
PIP4K2A			ENSG00000150867
C2orf50			ENSG00000150873
FREM2			ENSG00000150893
FOXO1	Forkhead boxes	508	ENSG00000150907
CRIM1	Cysteine rich transmembrane BMP regulators	1660	ENSG00000150938
SEC24D	COPII coat complex	1960	ENSG00000150961
ABCB9	ATP binding cassette subfamily B	806	ENSG00000150967
RILPL2			ENSG00000150977
DHX37	DEAH-box helicases	500	ENSG00000150990
UBC			ENSG00000150991
ITPR1	Protein phosphatase 1 regulatory subunits|Inositol 1,4,5-triphosphate receptors	694|297	ENSG00000150995
TKTL2			ENSG00000151005
PRSS53	Serine proteases	738	ENSG00000151006
SLC7A11	Solute carriers	752	ENSG00000151012
NOCT			ENSG00000151014
ENKUR	Cilia and flagella associated	1491	ENSG00000151023
GPR158	G protein-coupled receptors, Class C orphans	285	ENSG00000151025
LYZL2	Lysozymes, c-type	1174	ENSG00000151033
CACNA2D4	Calcium voltage-gated channel auxiliary alpha2delta subunits	1514	ENSG00000151062
DCP1B			ENSG00000151065
CACNA1C	Calcium voltage-gated channel alpha1 subunits	1512	ENSG00000151067
KCNA6	Potassium voltage-gated channels|Protein phosphatase 1 regulatory subunits	274|694	ENSG00000151079
THRB	Nuclear hormone receptors	71	ENSG00000151090
NGLY1			ENSG00000151092
OXSM			ENSG00000151093
UEVLD			ENSG00000151116
TMEM86A			ENSG00000151117
C12orf45			ENSG00000151131
TMEM263			ENSG00000151135
BTBD11	BTB domain containing|Ankyrin repeat domain containing	861|403	ENSG00000151136
UBE3B	HECT domain containing	1959	ENSG00000151148
ANK3	Ankyrin repeat domain containing	403	ENSG00000151150
IPMK			ENSG00000151151
RAD9B			ENSG00000151164
PLBD2			ENSG00000151176
DLG5	PDZ domain containing|Membrane associated guanylate kinases	1220|904	ENSG00000151208
MAT1A			ENSG00000151224
SLC2A13	Solute carriers	752	ENSG00000151229
GXYLT1	Glycosyltransferase family 8	436	ENSG00000151233
TWF1			ENSG00000151239
DIP2C	MicroRNA protein coding host genes	1691	ENSG00000151240
EIF4E			ENSG00000151247
MAGI1	Trinucleotide repeat containing|Membrane associated guanylate kinases|PDZ domain containing	775|904|1220	ENSG00000151276
TEX30			ENSG00000151287
CSNK1G3			ENSG00000151292
SRFBP1			ENSG00000151304
AKAP6	A-kinase anchoring proteins	396	ENSG00000151320
NPAS3	Basic helix-loop-helix proteins	420	ENSG00000151322
FAM177A1			ENSG00000151327
MBIP	ATAC complex	1058	ENSG00000151332
MIPOL1			ENSG00000151338
EXT2	Exostosin glycosyltransferase family	431	ENSG00000151348
TMEM18			ENSG00000151353
ALLC			ENSG00000151360
KCTD14	KCTD family	1815	ENSG00000151364
THRSP			ENSG00000151365
NDUFC2	NADH:ubiquinone oxidoreductase supernumerary subunits	1150	ENSG00000151366
ME3			ENSG00000151376
MSGN1			ENSG00000151379
ADAMTS12	ADAM metallopeptidases with thrombospondin type 1 motif	50	ENSG00000151388
NUBPL	Mitochondrial respiratory chain complex assembly factors|Mitochondrial iron-sulfur assembly components	645|1853	ENSG00000151413
NEK7			ENSG00000151414
ATP6V1G3	V-type ATPases	415	ENSG00000151418
FER	Protein phosphatase 1 regulatory subunits|SH2 domain containing|F-BAR domain containing |Fes family tyrosine kinases	694|741|1288|1461	ENSG00000151422
VIPAS39			ENSG00000151445
ANKRD50	Ankyrin repeat domain containing	403	ENSG00000151458
UPF2	DECID complex	1964	ENSG00000151461
CDC123			ENSG00000151465
SCLT1			ENSG00000151466
CCDC3			ENSG00000151468
C4orf33			ENSG00000151470
FRMD4A	FERM domain containing	1293	ENSG00000151474
SLC25A31	Solute carriers	752	ENSG00000151475
PTPRO	Protein tyrosine phosphatases receptor type|Fibronectin type III domain containing	813|555	ENSG00000151490
EPS8			ENSG00000151491
ACAD8	Acyl-CoA dehydrogenase family	974	ENSG00000151498
THYN1			ENSG00000151500
VPS26B			ENSG00000151502
NCAPD3	Armadillo like helical domain containing|Condensin II subunits	1492|1453	ENSG00000151503
VTI1A	MicroRNA protein coding host genes|SNAREs	1691|1124	ENSG00000151532
QDPR	Short chain dehydrogenase/reductase superfamily	743	ENSG00000151552
FAM160B1	Armadillo like helical domain containing	1492	ENSG00000151553
ANO4	Anoctamins	865	ENSG00000151572
TEX9			ENSG00000151575
QTRT2			ENSG00000151576
DRD3	Dopamine receptors	181	ENSG00000151577
MMAA			ENSG00000151611
ZNF827	Zinc fingers C2H2-type	28	ENSG00000151612
POU4F2	POU class homeoboxes and pseudogenes	523	ENSG00000151615
EDNRA	Endothelin receptors	225	ENSG00000151617
NR3C2	Nuclear hormone receptors	71	ENSG00000151623
AKR1C6P	Aldo-keto reductases	399	ENSG00000151631
AKR1C2	Aldo-keto reductases	399	ENSG00000151632
DPYSL4			ENSG00000151640
VENTX	NKL subclass homeoboxes and pseudogenes	519	ENSG00000151650
ADAM8	ADAM metallopeptidase domain containing|CD molecules	47|471	ENSG00000151651
ITIH2	Inter-alpha-trypsin inhibitor heavy chains|Gla domain containing	1840|1250	ENSG00000151655
KIN			ENSG00000151657
PIGF	Phosphatidylinositol glycan anchor biosynthesis	680	ENSG00000151665
ANKAR	Ankyrin repeat domain containing|Armadillo repeat containing	403|409	ENSG00000151687
INPP1	Phosphoinositide phosphatases	1079	ENSG00000151689
MFSD6			ENSG00000151690
RNF144A	Ring finger proteins|RBR E3 ubiquitin ligases	58|1391	ENSG00000151692
ASAP2	BAR-PH domain containing|Ankyrin repeat domain containing|ArfGAPs	1291|403|395	ENSG00000151693
ADAM17	ADAM metallopeptidase domain containing|CD molecules	47|471	ENSG00000151694
FLI1	ETS transcription factor family	534	ENSG00000151702
KCNJ1	Potassium inwardly rectifying channel subfamily J	276	ENSG00000151704
TMEM45B			ENSG00000151715
WWC2	WWC family|C2 and WW domain containing	158|838	ENSG00000151718
CENPU	Constitutive centromere associated network	1576	ENSG00000151725
ACSL1	Acyl-CoA synthetase family	40	ENSG00000151726
SLC25A4	Solute carriers	752	ENSG00000151729
AMN1			ENSG00000151743
BICD1			ENSG00000151746
SAV1			ENSG00000151748
CCDC122			ENSG00000151773
SERP2			ENSG00000151778
NBAS	NRZ tethering complex	1931	ENSG00000151779
ZNF385D			ENSG00000151789
TDO2			ENSG00000151790
GUF1			ENSG00000151806
SLC35F4	Solute carriers	752	ENSG00000151812
GABRA2	Gamma-aminobutyric acid type A receptor subunits	563	ENSG00000151834
SACS	DNAJ (HSP40) heat shock proteins|Protein phosphatase 1 regulatory subunits	584|694	ENSG00000151835
CCDC175			ENSG00000151838
PABPC3	RNA binding motif containing	725	ENSG00000151846
CENPJ			ENSG00000151849
FBXO4	F-boxes other	560	ENSG00000151876
TMEM267			ENSG00000151881
CCL28	Chemokine ligands	483	ENSG00000151882
PARP8	Poly(ADP-ribose) polymerases	684	ENSG00000151883
GFRA1			ENSG00000151892
CACUL1			ENSG00000151893
DST	Plakins|EF-hand domain containing	939|863	ENSG00000151914
BEND6	BEN domain containing	422	ENSG00000151917
TIAL1	RNA binding motif containing	725	ENSG00000151923
BAG3	BAG cochaperones	1139	ENSG00000151929
GLT1D1	Glycosyl transferases group 1 domain containing	427	ENSG00000151948
TMEM132D	Protein phosphatase 1 regulatory subunits	694	ENSG00000151952
RBM46	RNA binding motif containing	725	ENSG00000151962
ZNF37CP			ENSG00000151963
SCHIP1	MicroRNA protein coding host genes	1691	ENSG00000151967
MCHR2	Melanin concentrating hormone receptors	235	ENSG00000152034
KCNE4	Potassium voltage-gated channel regulatory subunits	858	ENSG00000152049
AP1S3	Adaptor related protein complex 1	1671	ENSG00000152056
RABGAP1L			ENSG00000152061
CCDC74B			ENSG00000152076
TLCD4	TLC domain containing	1374	ENSG00000152078
MZT2B			ENSG00000152082
TUBA3E	Tubulins	778	ENSG00000152086
ASTN1	Fibronectin type III domain containing|MicroRNA protein coding host genes	555|1691	ENSG00000152092
CFC1B			ENSG00000152093
FAM168B			ENSG00000152102
PTPN14	Protein tyrosine phosphatases non-receptor type|FERM domain containing	812|1293	ENSG00000152104
SMPD4BP			ENSG00000152117
MGAT5	MicroRNA protein coding host genes|Mannosyl-glycoprotein N-acetylglucosaminyltransferases	1691|435	ENSG00000152127
TMEM163			ENSG00000152128
GPATCH11	G-patch domain containing	579	ENSG00000152133
HSPB8	Small heat shock proteins	585	ENSG00000152137
GEMIN6	Gemins	1131	ENSG00000152147
TMEM178A			ENSG00000152154
POU4F1	POU class homeoboxes and pseudogenes	523	ENSG00000152192
OBI1	Ring finger proteins	58	ENSG00000152193
CYSLTR2	Leukotriene receptors	204	ENSG00000152207
GRID2	Glutamate ionotropic receptor delta type subunits	1202	ENSG00000152208
ARL11	ARF GTPase family	357	ENSG00000152213
RIT2	RAS type GTPase family	389	ENSG00000152214
SETBP1			ENSG00000152217
ARL14EP			ENSG00000152219
EPG5			ENSG00000152223
PSTPIP2	F-BAR domain containing 	1288	ENSG00000152229
ATP5F1A	Mitochondrial complex V: ATP synthase subunits	644	ENSG00000152234
HAUS1	HAUS augmin like complex 	581	ENSG00000152240
C18orf25			ENSG00000152242
SPC25	NDC80 kinetochore complex 	1573	ENSG00000152253
G6PC2	Glucose 6-phosphatases, catalytic	1074	ENSG00000152254
PDK1			ENSG00000152256
PTH	Receptor ligands	542	ENSG00000152266
PDE3B	Phosphodiesterases	681	ENSG00000152270
TCF7L1	Wnt enhanceosome complex|TCF/LEF transcription factor family	1677|1549	ENSG00000152284
TGOLN2			ENSG00000152291
SH2D6	SH2 domain containing	741	ENSG00000152292
KCNK13	Potassium two pore domain channel subfamily K 	277	ENSG00000152315
UHMK1	RNA binding motif containing	725	ENSG00000152332
ATG10	Autophagy related	1022	ENSG00000152348
POC5			ENSG00000152359
SPOCK1	SPARC family	1278	ENSG00000152377
FAM151B			ENSG00000152380
TADA1	SAGA complex	1059	ENSG00000152382
GUCY1A2	Guanylate cyclases, soluble	820	ENSG00000152402
CWF19L2			ENSG00000152404
JMY	Wiskott-Aldrich Syndrome protein family	14	ENSG00000152409
HOMER1	Homer scaffold proteins 	871	ENSG00000152413
XRCC4			ENSG00000152422
BOLL	DAZ RNA binding protein family |RNA binding motif containing	1579|725	ENSG00000152430
ZNF547	Zinc fingers C2H2-type	28	ENSG00000152433
ZNF773	Zinc fingers C2H2-type	28	ENSG00000152439
ZNF776	Zinc fingers C2H2-type	28	ENSG00000152443
ZNF256	Zinc fingers C2H2-type	28	ENSG00000152454
SUV39H2	Lysine methyltransferases|SET domain containing	487|1399	ENSG00000152455
DCLRE1C	DNA cross-link repair family	2035	ENSG00000152457
OLAH			ENSG00000152463
RPP38			ENSG00000152464
NMT2			ENSG00000152465
ZSCAN1	SCAN domain containing|Zinc fingers C2H2-type	42|28	ENSG00000152467
ZNF837	Zinc fingers C2H2-type	28	ENSG00000152475
USP12	Ubiquitin specific peptidases	366	ENSG00000152484
CCDC50			ENSG00000152492
CAMK4	Calmodulin dependent protein kinases	1630	ENSG00000152495
TRIM36	Tripartite motif containing|Fibronectin type III domain containing|Ring finger proteins	59|555|58	ENSG00000152503
ZFP36L2	Zinc fingers CCCH-type	73	ENSG00000152518
PAN3			ENSG00000152520
PLEKHH2	Pleckstrin homology domain containing|FERM domain containing	682|1293	ENSG00000152527
PFKM	Protein phosphatase 1 regulatory subunits|MicroRNA protein coding host genes	694|1691	ENSG00000152556
TMEM123			ENSG00000152558
GRIA4	Glutamate ionotropic receptor AMPA type subunits	1200	ENSG00000152578
IGSF10	MicroRNA protein coding host genes|I-set domain containing	1691|593	ENSG00000152580
SPEF2			ENSG00000152582
SPARCL1	SPARC family	1278	ENSG00000152583
DSPP	SIBLING family	1279	ENSG00000152591
DMP1	SIBLING family	1279	ENSG00000152592
MEPE	SIBLING family	1279	ENSG00000152595
MBNL1	Zinc fingers CCCH-type	73	ENSG00000152601
CAPSL	EF-hand domain containing	863	ENSG00000152611
NADK2			ENSG00000152620
GPD1L			ENSG00000152642
GJA1	Gap junction proteins	314	ENSG00000152661
CCNO	Cyclins	473	ENSG00000152669
DDX4	DEAD-box helicases	499	ENSG00000152670
CLEC4F	C-type lectin domain containing	1298	ENSG00000152672
SLC30A6	Solute carriers	752	ENSG00000152683
PELO			ENSG00000152684
RASGRP3	EF-hand domain containing	863	ENSG00000152689
SAR1B	COPII coat complex|ARF GTPase family	1960|357	ENSG00000152700
CATSPER3	Cation channels sperm associated 	186	ENSG00000152705
GPR180			ENSG00000152749
DYNLT5			ENSG00000152760
DNAI4	WD repeat domain containing|Dyneins, axonemal inner arm I1/f complex subunits	362|2032	ENSG00000152763
ANKRD22	Ankyrin repeat domain containing	403	ENSG00000152766
FARP1	Pleckstrin homology domain containing|MicroRNA protein coding host genes|Dbl family Rho GEFs|FERM domain containing|Protein phosphatase 1 regulatory subunits	682|1691|722|1293|694	ENSG00000152767
IFIT5	Tetratricopeptide repeat domain containing	769	ENSG00000152778
SLC16A12	Solute carriers	752	ENSG00000152779
PANK1	Pantothenate kinases|MicroRNA protein coding host genes	1956|1691	ENSG00000152782
PRDM8	PR/SET domain family|Lysine methyltransferases	1197|487	ENSG00000152784
BMP3	Bone morphogenetic proteins	455	ENSG00000152785
HNRNPDL	Heterogeneous nuclear ribonucleoproteins|RNA binding motif containing	1950|725	ENSG00000152795
HHEX	NKL subclass homeoboxes and pseudogenes	519	ENSG00000152804
UTRN	Zinc fingers ZZ-type	91	ENSG00000152818
GRM1	Protein phosphatase 1 regulatory subunits|Glutamate metabotropic receptors	694|281	ENSG00000152822
PTPRK	Protein tyrosine phosphatases receptor type|Immunoglobulin like domain containing|Fibronectin type III domain containing	813|594|555	ENSG00000152894
GGPS1			ENSG00000152904
CNTNAP4	Contactin associated protein family	1969	ENSG00000152910
ZNF117	Zinc fingers C2H2-type	28	ENSG00000152926
PART1	Long non-coding RNAs with non-systematic symbols	1992	ENSG00000152931
RAB3C	RAB, member RAS oncogene GTPases	388	ENSG00000152932
LMNTD1			ENSG00000152936
MARVELD2	MARVEL domain containing	1626	ENSG00000152939
RAD17			ENSG00000152942
MED21	Mediator complex	1061	ENSG00000152944
PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase family	2023	ENSG00000152952
STK32B	AGC family kinases	1625	ENSG00000152953
NRSN1			ENSG00000152954
JAKMIP1			ENSG00000152969
ZIC1	Zinc fingers C2H2-type	28	ENSG00000152977
ADGRA3	Adhesion G protein-coupled receptors, subfamily A|I-set domain containing	911|593	ENSG00000152990
CPB1	M14 carboxypeptidases	1321	ENSG00000153002
SREK1IP1			ENSG00000153006
LGI2	LGI family	1841	ENSG00000153012
CWC27	NTC associated proteins|Spliceosomal Bact complex|Spliceosomal P complex|Cyclophilin peptidylprolyl isomerases|Spliceosomal C complex	1498|1508|1516|909|1510	ENSG00000153015
MR1	C1-set domain containing|Minor histocompatibility antigens	591|870	ENSG00000153029
SRP19	Signal recognition particle	1876	ENSG00000153037
CENPH	Constitutive centromere associated network	1576	ENSG00000153044
CDYL			ENSG00000153046
CARHSP1			ENSG00000153048
TEKT5	Tektins	949	ENSG00000153060
BANK1	Ankyrin repeat domain containing	403	ENSG00000153064
TXNDC11	Thioredoxin domain containing 	1883	ENSG00000153066
DAB2			ENSG00000153071
ACMSD	MicroRNA protein coding host genes	1691	ENSG00000153086
ACOXL			ENSG00000153093
BCL2L11	BCL2 homology region 3 (BH3) only	1277	ENSG00000153094
ANAPC1	Anaphase promoting complex |MicroRNA protein coding host genes	402|1691	ENSG00000153107
CAST			ENSG00000153113
SCOC			ENSG00000153130
CLGN			ENSG00000153132
CETN3	EF-hand domain containing	863	ENSG00000153140
SMARCA5	Chromatin accessibility complex|B-WICH chromatin-remodelling complex subunits|Myb/SANT domain containing	1633|1787|532	ENSG00000153147
SYCP2L			ENSG00000153157
BMP6	Bone morphogenetic proteins	455	ENSG00000153162
RGPD3	Tetratricopeptide repeat domain containing	769	ENSG00000153165
RASSF3	Ras association domain family|MicroRNA protein coding host genes	1198|1691	ENSG00000153179
HNRNPU	Heterogeneous nuclear ribonucleoproteins	1950	ENSG00000153187
RANBP2	Nucleoporins|Tetratricopeptide repeat domain containing|Cyclophilin peptidylprolyl isomerases|Zinc fingers RANBP2-type 	1051|769|909|89	ENSG00000153201
AHCTF1	Nucleoporins	1051	ENSG00000153207
MERTK	Fibronectin type III domain containing|I-set domain containing|Receptor tyrosine kinases	555|593|321	ENSG00000153208
TMEM87B			ENSG00000153214
OR14K1	Olfactory receptors, family 14	163	ENSG00000153230
PTPRR	Protein tyrosine phosphatases receptor type	813	ENSG00000153233
NR4A2	Nuclear hormone receptors	71	ENSG00000153234
CCDC148			ENSG00000153237
PLA2R1	C-type lectin domain containing	1298	ENSG00000153246
RBMS1	RNA binding motif containing|MicroRNA protein coding host genes	725|1691	ENSG00000153250
SCN3A	Sodium voltage-gated channel alpha subunits	1203	ENSG00000153253
FEZF2	Zinc fingers C2H2-type	28	ENSG00000153266
CD96	Immunoglobulin like domain containing|CD molecules|Ig-like cell adhesion molecule family	594|471|1410	ENSG00000153283
SLC25A27	Solute carriers	752	ENSG00000153291
ADGRF1	Adhesion G protein-coupled receptors, subfamily F	916	ENSG00000153292
ADGRF4	Adhesion G protein-coupled receptors, subfamily F	916	ENSG00000153294
FRMD1	FERM domain containing	1293	ENSG00000153303
CYRIB	MicroRNA protein coding host genes	1691	ENSG00000153310
ASAP1	ArfGAPs|Ankyrin repeat domain containing|BAR-PH domain containing	395|403|1291	ENSG00000153317
TRAPPC8	Trafficking protein particle complex	772	ENSG00000153339
FAM81B			ENSG00000153347
LINC00467	Long intergenic non-protein coding RNAs	1986	ENSG00000153363
INO80C	INO80 complex 	595	ENSG00000153391
LPCAT1	MicroRNA protein coding host genes|EF-hand domain containing|1-acylglycerol-3-phosphate O-acyltransferases	1691|863|46	ENSG00000153395
PLEKHG4B	Pleckstrin homology domain containing|Dbl family Rho GEFs	682|722	ENSG00000153404
NMRAL1	Short chain dehydrogenase/reductase superfamily	743	ENSG00000153406
UBALD1			ENSG00000153443
C16orf89			ENSG00000153446
TMEM251			ENSG00000153485
ING1	PHD finger proteins	88	ENSG00000153487
TEX29			ENSG00000153495
SPACA7			ENSG00000153498
ADPRHL1			ENSG00000153531
CMTM7	CKLF like MARVEL transmembrane domain containing	978	ENSG00000153551
FBXL2	F-box and leucine rich repeat proteins	558	ENSG00000153558
UBP1			ENSG00000153560
RMND5A	CTLH complex	1561	ENSG00000153561
CD8A	V-set domain containing|CD molecules	590|471	ENSG00000153563
RPIA			ENSG00000153574
GOLGA8F	Golgin related	1856	ENSG00000153684
PTPRD	Fibronectin type III domain containing|Protein tyrosine phosphatases receptor type|I-set domain containing	555|813|593	ENSG00000153707
LURAP1L			ENSG00000153714
CNKSR3	Sterile alpha motif domain containing|PDZ domain containing	760|1220	ENSG00000153721
GTF2E1	General transcription factor IIE complex subunits	1746	ENSG00000153767
CFDP1			ENSG00000153774
TGIF2LX	TALE class homeoboxes and pseudogenes	526	ENSG00000153779
ZDHHC7	Zinc fingers DHHC-type	76	ENSG00000153786
CIBAR2			ENSG00000153789
C7orf31			ENSG00000153790
TMPRSS11D	Type II transmembrane serine proteases	2020	ENSG00000153802
JAZF1	Zinc fingers C2H2-type	28	ENSG00000153814
CMIP	MicroRNA protein coding host genes	1691	ENSG00000153815
SPHKAP	A-kinase anchoring proteins	396	ENSG00000153820
KCNJ16	Potassium inwardly rectifying channel subfamily J	276	ENSG00000153822
PID1			ENSG00000153823
TRIP12	HECT domain containing|Armadillo like helical domain containing	1959|1492	ENSG00000153827
FBXO36	F-boxes other	560	ENSG00000153832
CEBPG	CCAAT/enhancer binding proteins |Basic leucine zipper proteins	1165|506	ENSG00000153879
KCTD15	KCTD family	1815	ENSG00000153885
ZNF599	Zinc fingers C2H2-type	28	ENSG00000153896
MCOLN2	Transient receptor potential cation channels	249	ENSG00000153898
LGI4	LGI family	1841	ENSG00000153902
DDAH1			ENSG00000153904
SREK1	RNA binding motif containing	725	ENSG00000153914
CHD1			ENSG00000153922
CLCA3P	Chloride channel accessory	867	ENSG00000153923
ANKFN1	Ankyrin repeat domain containing|Fibronectin type III domain containing	403|555	ENSG00000153930
DGKE	Diacylglycerol kinases	1178	ENSG00000153933
HS2ST1	Sulfotransferases, membrane bound	763	ENSG00000153936
MSI2	RNA binding motif containing	725	ENSG00000153944
CACNA2D1	Calcium voltage-gated channel auxiliary alpha2delta subunits	1514	ENSG00000153956
ZUP1	Zinc fingers C2H2-type|ZUP1 deubiquitinase	28|1820	ENSG00000153975
HS3ST3A1	Sulfotransferases, membrane bound|MicroRNA protein coding host genes	763|1691	ENSG00000153976
GDPD1			ENSG00000153982
NUS1	Dehydrodolichyl diphosphate synthase 	1733	ENSG00000153989
SEMA3D	Semaphorins|V-set domain containing	736|590	ENSG00000153993
PPP2R5E	Protein phosphatase 2 regulatory subunits|Armadillo like helical domain containing	696|1492	ENSG00000154001
ASB17	Ankyrin repeat domain containing	403	ENSG00000154007
GRAP	SH2 domain containing	741	ENSG00000154016
SLC5A10	Solute carriers	752	ENSG00000154025
AK5	Adenylate kinases	356	ENSG00000154027
CABYR			ENSG00000154040
IMPACT			ENSG00000154059
ANKRD29	Ankyrin repeat domain containing	403	ENSG00000154065
SDHAF4	Mitochondrial respiratory chain complex assembly factors	645	ENSG00000154079
CHST9	Sulfotransferases, membrane bound	763	ENSG00000154080
THY1	Immunoglobulin like domain containing|CD molecules|Ig-like cell adhesion molecule family	594|471|1410	ENSG00000154096
DNAAF1	Axonemal dynein assembly factors	1627	ENSG00000154099
C16orf74	MicroRNA protein coding host genes	1691	ENSG00000154102
TBCEL			ENSG00000154114
JPH3	Junctophilins|Trinucleotide repeat containing	1601|775	ENSG00000154118
ANKH	Solute carriers|MicroRNA protein coding host genes	752|1691	ENSG00000154122
OTULIN	OTU domain containing	669	ENSG00000154124
UBASH3B	Protein phosphatases	703	ENSG00000154127
ROBO4	Fibronectin type III domain containing|I-set domain containing	555|593	ENSG00000154133
ROBO3	I-set domain containing|Fibronectin type III domain containing	593|555	ENSG00000154134
PANX3	Pannexins	288	ENSG00000154143
TBRG1			ENSG00000154144
NRGN			ENSG00000154146
RETREG1			ENSG00000154153
CDH12	Type II classical cadherins	1186	ENSG00000154162
GPR15	G protein-coupled receptors, Class A orphans	262	ENSG00000154165
TOMM70	Tetratricopeptide repeat domain containing|Translocase of outer mitochondrial membrane complex	769|1229	ENSG00000154174
ABI3BP	Fibronectin type III domain containing	555	ENSG00000154175
ANGPT1	Receptor ligands|Fibrinogen C domain containing	542|554	ENSG00000154188
CYP4Z2P	Cytochrome P450 family 4	1003	ENSG00000154198
PITPNC1	MicroRNA protein coding host genes|Phosphatidylinositol transfer proteins	1691|1151	ENSG00000154217
CC2D1B	C2 domain containing	823	ENSG00000154222
CERS3	CERS class homeoboxes	530	ENSG00000154227
PRKCA	AGC family kinases|MicroRNA protein coding host genes|C2 domain containing protein kinases	1625|1691|835	ENSG00000154229
LRRK1	Roco domain containing	1421	ENSG00000154237
CEP112			ENSG00000154240
GAL3ST2	Sulfotransferases, membrane bound	763	ENSG00000154252
ABCA9	ATP binding cassette subfamily A	805	ENSG00000154258
ABCA6	ATP binding cassette subfamily A|MicroRNA protein coding host genes	805|1691	ENSG00000154262
ABCA10	ATP binding cassette subfamily A	805	ENSG00000154263
ABCA5	ATP binding cassette subfamily A	805	ENSG00000154265
ENPP3	Ectonucleotide pyrophosphatase/phosphodiesterase family|CD molecules	1821|471	ENSG00000154269
C4orf19			ENSG00000154274
UCHL1	Ubiquitin C-terminal hydrolases	998	ENSG00000154277
MIA3	MIA family|CTAGE family	1300|907	ENSG00000154305
DISP1			ENSG00000154309
TNIK	MicroRNA protein coding host genes	1691	ENSG00000154310
TDH	Short chain dehydrogenase/reductase superfamily	743	ENSG00000154316
FAM167A			ENSG00000154319
NEIL2	DNA glycosylases	1024	ENSG00000154328
PGM5			ENSG00000154330
WNT3A	Wnt family	360	ENSG00000154342
OBSCN	Myosin light chain kinase family|Fibronectin type III domain containing|I-set domain containing|Dbl family Rho GEFs	1668|555|593|722	ENSG00000154358
LONRF1	Ring finger proteins|MicroRNA protein coding host genes	58|1691	ENSG00000154359
TRIM11	Ring finger proteins|Tripartite motif containing|MicroRNA protein coding host genes	58|59|1691	ENSG00000154370
ENAH	ENAH/VASPs	946	ENSG00000154380
PPP1R3A	Protein phosphatase 1 regulatory subunits	694	ENSG00000154415
CCSAP			ENSG00000154429
ASZ1	Sterile alpha motif domain containing|Ankyrin repeat domain containing	760|403	ENSG00000154438
SH3RF1	Ring finger proteins	58	ENSG00000154447
GBP5	Guanylate binding proteins	1825	ENSG00000154451
BUB3	WD repeat domain containing	362	ENSG00000154473
GPR26	G protein-coupled receptors, Class A orphans	262	ENSG00000154478
CCDC173			ENSG00000154479
MMP21	M10 matrix metallopeptidases	891	ENSG00000154485
C10orf90			ENSG00000154493
DIPK1A	divergent protein kinase domain family	1622	ENSG00000154511
ATP5MC3	Mitochondrial complex V: ATP synthase subunits	644	ENSG00000154518
CNTNAP3B	Contactin associated protein family	1969	ENSG00000154529
MAGED4	Small nucleolar RNA protein coding host genes|MAGE family	1835|1136	ENSG00000154545
SRSF12	Serine and arginine rich splicing factors|RNA binding motif containing	737|725	ENSG00000154548
PDLIM3	PDZ domain containing|LIM domain containing	1220|1218	ENSG00000154553
SORBS2			ENSG00000154556
ELOC	Elongin complex	1392	ENSG00000154582
LY96			ENSG00000154589
CEP170P1			ENSG00000154608
PSMA8	Proteasome	690	ENSG00000154611
TMSB4Y	Minor histocompatibility antigens	870	ENSG00000154620
CXADR	V-set domain containing|IgCAM CXADR-related subfamily	590|1414	ENSG00000154639
BTG3	BTG/Tob family	1309	ENSG00000154640
C21orf91			ENSG00000154642
CHODL	C-type lectin domain containing	1298	ENSG00000154645
TMPRSS15	Scavenger receptor cysteine rich domain containing|Type II transmembrane serine proteases	1404|2020	ENSG00000154646
NCAM2	I-set domain containing|Ig-like cell adhesion molecule family|Fibronectin type III domain containing	593|1410|555	ENSG00000154654
